ID,composition,pressure,Lambda,omlog,a,b,c,alpha,beta,gamma,nat,ntypat,species,xred,ref
253,K1B2H8,14.0,2.35,497.331786543,4.639380990289885,4.639380990289885,4.639380990289885,59.99999999999999,59.99999999999999,59.99999999999999,11.0,3.0,"[""K"", "" B"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[-0.0, 0.0, -0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.3579780267087679, 0.3579780267087679, 0.3579780267087679], [0.642021973291232, 0.642021973291232, 0.642021973291232], [0.3579780267087679, 0.3579780267087679, 0.9260659198736962], [0.642021973291232, 0.642021973291232, 0.0739340801263037], [0.3579780267087679, 0.9260659198736962, 0.3579780267087679], [0.642021973291232, 0.0739340801263037, 0.642021973291232], [0.9260659198736962, 0.3579780267087679, 0.3579780267087679], [0.0739340801263037, 0.642021973291232, 0.642021973291232]]",[10.1103/PhysRevB.104.L100504]
254,K1B2H8,16.0,2.04,568.213457077,4.597611631092265,4.597611631092265,4.597611631092265,60.00000000000001,60.00000000000001,60.00000000000001,11.0,3.0,"[""K"", "" B"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[-0.0, 0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.358774253248163, 0.358774253248163, 0.358774253248163], [0.6412257467518371, 0.6412257467518371, 0.6412257467518371], [0.358774253248163, 0.358774253248163, 0.9236772402555186], [0.6412257467518371, 0.6412257467518371, 0.0763227597444816], [0.358774253248163, 0.9236772402555186, 0.358774253248163], [0.6412257467518371, 0.0763227597444816, 0.6412257467518371], [0.9236772402555186, 0.358774253248163, 0.358774253248163], [0.0763227597444816, 0.6412257467518371, 0.6412257467518371]]",[10.1103/PhysRevB.104.L100504]
255,K1B2H8,18.0,1.84,620.417633411,4.559492740714751,4.559492740714751,4.559492740714751,59.99999999999999,59.99999999999999,59.99999999999999,11.0,3.0,"[""K"", "" B"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[-0.0, 0.0, -0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.359496678194669, 0.359496678194669, 0.359496678194669], [0.640503321805331, 0.640503321805331, 0.640503321805331], [0.359496678194669, 0.359496678194669, 0.9215099654160072], [0.640503321805331, 0.640503321805331, 0.0784900345839929], [0.359496678194669, 0.9215099654160072, 0.359496678194669], [0.640503321805331, 0.0784900345839929, 0.640503321805331], [0.9215099654160072, 0.359496678194669, 0.359496678194669], [0.0784900345839929, 0.640503321805331, 0.640503321805331]]",[10.1103/PhysRevB.104.L100504]
256,K1B2H8,20.0,1.69,665.545243619,4.524825643799486,4.524825643799486,4.524825643799486,60.00000000000001,60.00000000000001,60.00000000000001,11.0,3.0,"[""K"", "" B"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.0, -0.0, 0.0], [0.25, 0.25, 0.25], [0.75, 0.75, 0.75], [0.3601543875337843, 0.3601543875337843, 0.3601543875337843], [0.6398456124662157, 0.6398456124662157, 0.6398456124662157], [0.3601543875337843, 0.3601543875337843, 0.9195368373986542], [0.6398456124662157, 0.6398456124662157, 0.0804631626013459], [0.3601543875337843, 0.9195368373986542, 0.3601543875337843], [0.6398456124662157, 0.0804631626013459, 0.6398456124662157], [0.9195368373986542, 0.3601543875337843, 0.3601543875337843], [0.0804631626013459, 0.6398456124662157, 0.6398456124662157]]",[10.1103/PhysRevB.104.L100504]
257,K1H10,100.0,2.45,736.517,3.7440169344360976,3.7440169344360976,4.1329387726981714,57.178198343234406,122.8218016567656,131.32301592758878,11.0,2.0,"[""K"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.5, 0.5, 0.5], [0.1172582735356996, 0.8827417264643003, 0.9605961060350655], [0.8827417264643003, 0.1172582735356996, 0.0394038939649344], [0.4196611724700858, 0.5803388275299142, 0.9122281543460703], [0.5803388275299142, 0.4196611724700858, 0.0877718456539298], [0.2068688250503633, 0.7931311749496367, 0.9023444035256606], [0.7931311749496367, 0.2068688250503633, 0.0976555964743394], [0.864366796148276, 0.1356332038517239, 0.6788564835989304], [0.1356332038517239, 0.864366796148276, 0.3211435164010698], [0.2256692477976755, 0.7743307522023245, 0.5645422396407644], [0.7743307522023245, 0.2256692477976755, 0.4354577603592355]]",[10.1103/PhysRevB.104.054501]
258,K1H10,150.0,1.34,1301.0,3.5902674268501693,3.5902674268501693,3.5902674268501693,132.00222290276795,112.42713870188418,87.09571156398763,11.0,2.0,"[""K"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.5, 0.5, 0.0], [0.0883610200017912, 0.5883610200017912, 0.5], [0.9116389799982088, 0.4116389799982088, 0.5], [0.8971088368993421, 0.2192180050879458, 0.6778908318113963], [0.1028911631006579, 0.7807819949120542, 0.3221091681886037], [0.5413271732765423, 0.2192180050879458, 0.3221091681886037], [0.4586728267234577, 0.7807819949120542, 0.6778908318113963], [0.7081277868102447, 0.8756897056437509, 0.8324380811664938], [0.2918722131897553, 0.1243102943562491, 0.1675619188335062], [0.0432516244772572, 0.8756897056437509, 0.1675619188335062], [0.9567483755227428, 0.1243102943562491, 0.8324380811664938]]",[10.1016/j.cossms.2020.100808]
259,K2H12,166.0,0.91,1164.72,3.530558036862121,3.530558036862121,3.8718343804842825,85.77938321180122,94.2206167881988,66.30393731114881,14.0,2.0,"[""K"", "" K"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.2481996152783452, 0.2481996152783452, 0.25], [0.7518003847216548, 0.7518003847216548, 0.75], [0.7304736991785319, 0.7304736991785319, 0.25], [0.2695263008214681, 0.2695263008214681, 0.75], [0.8813014434085815, 0.8813014434085815, 0.25], [0.1186985565914185, 0.1186985565914185, 0.75], [0.198605831039508, 0.7646726703936793, 0.4687055143084677], [0.801394168960492, 0.2353273296063207, 0.5312944856915323], [0.7646726703936793, 0.198605831039508, 0.0312944856915323], [0.2353273296063207, 0.801394168960492, 0.9687055143084677], [0.5731645713424953, 0.3136988613420613, 0.8767760268724629], [0.4268354286575047, 0.6863011386579387, 0.1232239731275371], [0.3136988613420613, 0.5731645713424953, 0.6232239731275371], [0.6863011386579387, 0.4268354286575047, 0.3767760268724629]]",[10.1103/PhysRevB.86.014118]
260,K2Sc2H24,300.0,1.54,1139.0,5.522054244658458,5.522054244658458,2.752878009871793,81.83865979819255,98.16134020180743,58.60727373369679,28.0,3.0,"[""K"", "" K"", "" Sc"", "" Sc"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.2194867245593954, 0.7805132754406046, 0.5212000302944944], [0.7805132754406046, 0.2194867245593954, 0.4787999697055056], [0.735408420300061, 0.735408420300061, 0.0], [0.264591579699939, 0.264591579699939, 0.0], [0.8867522696330568, 0.3744380976974711, 0.9813750430472439], [0.1132477303669432, 0.625561902302529, 0.0186249569527561], [0.3744380976974711, 0.8867522696330568, 0.0186249569527561], [0.625561902302529, 0.1132477303669432, 0.9813750430472439], [0.6179917525469563, 0.5064848759741807, 0.8564769779803001], [0.3820082474530437, 0.4935151240258193, 0.1435230220196999], [0.5064848759741807, 0.6179917525469563, 0.1435230220196999], [0.4935151240258193, 0.3820082474530437, 0.8564769779803001], [0.0224390952786422, 0.1614430206151525, 0.0525516622556452], [0.9775609047213578, 0.8385569793848475, 0.9474483377443548], [0.1614430206151525, 0.0224390952786422, 0.9474483377443548], [0.8385569793848475, 0.9775609047213578, 0.0525516622556452], [0.9979980242462787, 0.6282785770267338, 0.5946935503836457], [0.0020019757537213, 0.3717214229732662, 0.4053064496163543], [0.6282785770267338, 0.9979980242462787, 0.4053064496163543], [0.3717214229732662, 0.0020019757537213, 0.5946935503836457], [0.1309393170486928, 0.5071226980037409, 0.4038742098506773], [0.8690606829513072, 0.4928773019962591, 0.5961257901493227], [0.5071226980037409, 0.1309393170486928, 0.5961257901493227], [0.4928773019962591, 0.8690606829513072, 0.4038742098506773], [0.6114597649411309, 0.6114597649411309, 0.5], [0.3885402350588691, 0.3885402350588691, 0.5], [0.1572407357225458, 0.1572407357225458, 0.5], [0.8427592642774542, 0.8427592642774542, 0.5]]",[10.1103/PhysRevB.100.174506]
261,La2B2H14,110.0,1.46,837.0,3.851832117274922,3.851832117274922,5.574344064038591,90.0,90.0,120.00000848778896,18.0,3.0,"[""La"", "" La"", "" B"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.3333330000000032, 0.6666669999999968, 0.2476180420637785], [0.6666669999999968, 0.3333330000000032, 0.7523819579362215], [0.0, -0.0, -0.0], [0.0, -0.0, 0.5], [0.6659094110548389, 0.8329547055271033, 0.6082228478407181], [0.3340905889451611, 0.1670452944728967, 0.3917771521592819], [0.1670452944722572, 0.8329547055277428, 0.6082228478407181], [0.8329547055277428, 0.1670452944722572, 0.3917771521592819], [0.1670452944728967, 0.3340905889451611, 0.6082228478407181], [0.8329547055271033, 0.6659094110548389, 0.3917771521592819], [0.1727457655960963, 0.8272542344039037, 0.892781472391451], [0.8272542344039037, 0.1727457655960963, 0.107218527608549], [0.1727457655974535, 0.3454915311935427, 0.892781472391451], [0.8272542344025465, 0.6545084688064573, 0.107218527608549], [0.6545084688064573, 0.8272542344025465, 0.892781472391451], [0.3454915311935427, 0.1727457655974535, 0.107218527608549], [0.6666669999999968, 0.3333330000000032, 0.3173834786942691], [0.3333330000000032, 0.6666669999999968, 0.6826165213057309]]",10.1103/PhysRevB.104.134501
262,La1B1H8,100.0,1.11,1189.0,3.7543288647262174,3.75432886472622,3.75432886472622,59.99999999999999,60.00000000000001,60.00000000000001,10.0,3.0,"[""La"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[-0.0, 0.0, -0.0], [0.5, 0.5, 0.5], [0.3516252357708365, 0.3516252357708365, 0.3516252357708365], [0.6483747642291635, 0.6483747642291635, 0.6483747642291635], [0.3516252357708365, 0.3516252357708365, 0.9451242926875049], [0.6483747642291635, 0.6483747642291635, 0.0548757073124952], [0.3516252357708365, 0.9451242926875049, 0.3516252357708365], [0.6483747642291635, 0.0548757073124952, 0.6483747642291635], [0.9451242926875049, 0.3516252357708365, 0.3516252357708365], [0.0548757073124952, 0.6483747642291635, 0.6483747642291635]]",10.1103/PhysRevB.104.134501
263,La1B1H8,200.0,0.72,1557.0,3.535027980794105,3.5350279807941054,3.5350279807941054,59.99999999999999,60.00000000000001,60.00000000000001,10.0,3.0,"[""La"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[-0.0, -0.0, 0.0], [0.5, 0.5, 0.5], [0.3489033429243439, 0.3489033429243439, 0.3489033429243439], [0.651096657075656, 0.651096657075656, 0.651096657075656], [0.3489033429243439, 0.3489033429243439, 0.9532899712269752], [0.651096657075656, 0.651096657075656, 0.0467100287730248], [0.3489033429243439, 0.9532899712269752, 0.3489033429243439], [0.651096657075656, 0.0467100287730248, 0.651096657075656], [0.9532899712269752, 0.3489033429243439, 0.3489033429243439], [0.0467100287730248, 0.651096657075656, 0.651096657075656]]",10.1103/PhysRevB.104.134501
264,La1B1H8,50.0,2.29,692.0,3.939713167206389,3.93971316720639,3.93971316720639,59.99999999999999,60.00000000000002,60.00000000000002,10.0,3.0,"[""La"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.3540699206311615, 0.3540699206311615, 0.3540699206311615], [0.6459300793688385, 0.6459300793688385, 0.6459300793688385], [0.3540699206311615, 0.3540699206311615, 0.9377902381065368], [0.6459300793688385, 0.6459300793688385, 0.0622097618934632], [0.3540699206311615, 0.9377902381065368, 0.3540699206311615], [0.6459300793688385, 0.0622097618934632, 0.6459300793688385], [0.9377902381065368, 0.3540699206311615, 0.3540699206311615], [0.0622097618934632, 0.6459300793688385, 0.6459300793688385]]",10.1103/PhysRevB.104.134501
265,La1B1H8,55.0,1.97,807.0,3.914869760391784,3.9148697603917855,3.9148697603917855,59.99999999999999,60.00000000000001,60.00000000000001,10.0,3.0,"[""La"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.0, 0.0, 0.0], [0.5, 0.5, 0.5], [0.3537296100110581, 0.3537296100110581, 0.3537296100110581], [0.6462703899889419, 0.6462703899889419, 0.6462703899889419], [0.3537296100110581, 0.3537296100110581, 0.9388111699668471], [0.6462703899889419, 0.6462703899889419, 0.0611888300331529], [0.3537296100110581, 0.9388111699668471, 0.3537296100110581], [0.6462703899889419, 0.0611888300331529, 0.6462703899889419], [0.9388111699668471, 0.3537296100110581, 0.3537296100110581], [0.0611888300331529, 0.6462703899889419, 0.6462703899889419]]",10.1103/PhysRevB.104.134501
266,La1B1H8,100.0,0.64,1020.88167053,3.7534460546524513,3.7534460546524513,3.7534460546524513,60.00000000000001,60.00000000000001,60.00000000000001,10.0,3.0,"[""La"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.5, 0.5, 0.5], [-0.0, -0.0, 0.0], [0.1483046297077454, 0.1483046297077454, 0.1483046297077454], [0.8516953702922546, 0.8516953702922546, 0.8516953702922546], [0.1483046297077454, 0.1483046297077454, 0.5550861108767708], [0.8516953702922546, 0.8516953702922546, 0.4449138891232292], [0.1483046297077454, 0.5550861108767708, 0.1483046297077454], [0.8516953702922546, 0.4449138891232292, 0.8516953702922546], [0.5550861108767708, 0.1483046297077454, 0.1483046297077454], [0.4449138891232292, 0.8516953702922546, 0.8516953702922546]]",[10.1103/PhysRevB.104.L020511]
267,La1B1H8,50.0,1.54,823.665893271,3.940473752875704,3.940473752875704,3.940473752875704,60.00000000000001,60.00000000000001,60.00000000000001,10.0,3.0,"[""La"", "" B"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H"", "" H""]","[[0.5, 0.5, 0.5], [0.0, -0.0, 0.0], [0.1459811792486887, 0.1459811792486887, 0.1459811792486887], [0.8540188207513113, 0.8540188207513113, 0.8540188207513113], [0.1459811792486887, 0.1459811792486887, 0.562056462253941], [0.8540188207513113, 0.8540188207513113, 0.4379435377460589], [0.1459811792486887, 0.562056462253941, 0.1459811792486887], [0.8540188207513113, 0.4379435377460589, 0.8540188207513113], [0.562056462253941, 0.1459811792486887, 0.1459811792486887], [0.4379435377460589, 0.8540188207513113, 0.8540188207513113]]",[10.1103/PhysRevB.104.L020511]
