formula,pressure,Tc_list,Tc_mean,Tc_std,method,ref
MgSiH6,275.0,"[58.048, 48.09]",53.069,4.978999999999999,comput,"['[10.1103/PhysRevB.96.144518]', '[10.1103/PhysRevB.96.144518]']"
MgSiH6,300.0,"[52.651, 42.646]",47.6485,5.002500000000001,comput,"['[10.1103/PhysRevB.96.144518]', '[10.1103/PhysRevB.96.144518]']"
ReHBe3,0.0,['5.04'],5.04,0.0,comput,['[10.1038/s41524-022-00817-4]']
GeH8,250.0,[90.0],90.0,0.0,comput,['[10.1021/jp211051r]']
Ac3H10,150.0,[3.0],3.0,0.0,comput,['[10.1021/acs.jpclett.8b00615]']
ZrHRh3,0.0,['0.02'],0.02,0.0,comput,['[10.1038/s41524-022-00817-4]']
HBS,300.0,['0.8'],0.8,0.0,comput,['[10.1103/PhysRevB.100.134110]']
HBS,400.0,['1.9'],1.9,0.0,comput,['[10.1103/PhysRevB.100.134110]']
MgHPd3,0.0,['0.01'],0.01,0.0,comput,['[10.1038/s41524-022-00817-4]']
TiPH8,250.0,['66.67'],66.67,0.0,comput,['[10.1016/j.physleta.2019.126189]']
TiPH8,300.0,['54.77'],54.77,0.0,comput,['[10.1016/j.physleta.2019.126189]']
LaH3,300.0,['2.688390722515527'],2.688390722515527,0.0,comput,"['[10.1016/j.rinp.2022.106060,10.1073/pnas.1704505114]']"
YHRh3,0.0,['0.58'],0.58,0.0,comput,['[10.1038/s41524-022-00817-4]']
Mg2H7,200.0,"[75.0, 55.0, 75.0, 56.0]",65.25,9.756408150543928,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
ZrHTi3,0.0,['10.01'],10.01,0.0,comput,['[10.1038/s41524-022-00817-4]']
TiPH6,250.0,['40.89'],40.89,0.0,comput,['[10.1016/j.physleta.2019.126189]']
LaH7,200.0,"[120.0, 98.0, 134.0, 105.0]",114.25,13.899190623917638,comput,"['[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]', '[10.1103/PhysRevB.104.054501]']"
TiH22,250.0,"[103.1, 80.7]",91.9,11.199999999999996,comput,"['[10.1103/PhysRevB.101.134108]', '[10.1103/PhysRevB.101.134108]']"
